Department,Department Code,Program Code,DRF Program,Description EN,Description FR
"Innovation, Science and Economic Development Canada",130,BNO01,Higher Education Sector Science and Research,"The Higher Education Sector Science and Research program supports and stimulates research, talent development, research infrastructure and innovation in Canada’s post-secondary sector. The program provides analysis, advice and develops policies and programs to strengthen and maintain Canada’s knowledge foundation and research excellence. This is accomplished by supporting extramural research and development activities within the post-secondary sector; consulting and collaborating with various stakeholders such as universities and colleges, ISED Portfolio partners (i.e., the granting agencies), other science-based departments and agencies, and the private sector; and developing and administrating strategic contribution agreements with stakeholder organizations. This program supports the departmental result “Canada has a strong knowledge foundation, built on world-leading fundamental research excellence” under the Science, Technology, Research and Commercialization core responsibility and includes the following transfer payments: Canada Foundation for Innovation, CANARIE Inc., Genome Canada, Perimeter Institute for Theoretical Physics, Post-Secondary Institutions Strategic Investment Fund, Centre for Drug Research and Development, Stem Cell Network, Institute for Quantum Computing, Canadian Institute for Advanced Research, Council of Canadian Academies, Pierre Elliot Trudeau Foundation.","Le programme de l’enseignement supérieur, secteur sciences et recherche, appuie et favorise la recherche, le perfectionnement des talents, l’infrastructure de recherche et l’innovation au sein du secteur postsecondaire au Canada. Le programme offre une analyse et des conseils, et élabore des politiques et des programmes visant à renforcer et à maintenir la base de connaissances et l’excellence en matière de recherche du Canada. Cela est rendu possible en appuyant les activités extra-muros de recherche et de développement au sein du secteur postsecondaire; en consultant les divers intervenants comme les universités et les collèges, les partenaires du portefeuille d’ISDE (les organismes subventionnaires), les autres ministères et organismes à vocation scientifique et le secteur privé, et en collaborant avec ceux-ci, et en élaborant et administrant des accords de contribution stratégiques avec les organismes d’intervenants. Ce programme vient appuyer le résultat ministériel « Le Canada possède une bonne base de connaissances qui repose sur l’excellence de la recherche fondamentale de classe mondiale » qui s’inscrit sous la responsabilité essentielle Sciences, technologie, recherche et commercialisation, et comprend les paiements de transfert suivants : la Fondation canadienne pour l’innovation, CANARIE Inc., Génome Canada, l’Institut Périmètre de physique théorique, le Fonds d’investissement stratégique pour les établissements postsecondaires, le Centre pour la recherche et le développement des médicaments, le Réseau de cellules souches, l’Institut de l’informatique quantique, l’Institut canadien de recherches avancées, le Conseil des académies canadiennes, la Fondation Pierre-Elliot-Trudeau."
"Innovation, Science and Economic Development Canada",130,BNP07,Clean Technology and Clean Growth,"The Clean Technology and Clean Growth program promotes the development and commercialization of clean technology to create well-paying jobs for Canadians and enhance economic growth while helping to meet Canada’s climate change and other environmental goals. It supports Canadian clean technology firms to help them grow into global high-impact firms as part of Canada’s transition to a low-carbon economy. The Clean Growth Hub helps coordinate federal funding available to Canadian clean technology companies to fill the financing and program support gaps they face as they commercialize and scale-up, and improves service to clean technology companies across the country. The program provides evidence-based analysis and advice on clean technology in Canada and supports the development of clean technology policy, outreach, and engagement. The program also supports data collection and regular reporting to improve the Government of Canada’s ability to target policies and programs for the production and adoption of clean technology. The program supports the development and demonstration of clean technology through its oversight of Sustainable Development Technology Canada (SDTC). This program supports the departmental result “Canada becomes a global leader in clean technologies” and “Canadian companies are globally competitive and achieve high growth” under the Companies, Investments and Growth core responsibility and includes the following transfer payment: SDTC - SD Tech Fund™.","Le programme de technologies et croissance propres encourage l’élaboration et la commercialisation de technologies propres afin de créer des emplois bien rémunérés pour les Canadiens et d’améliorer la croissance économique, tout en contribuant au respect des objectifs gouvernementaux concernant les changements climatiques et l’environnement en général. Il appuie les entreprises canadiennes de technologies propres pour les aider à devenir des entreprises dont l’impact mondial sera important dans le cadre de la transition du Canada vers une économie à faible émission de carbone. Le Carrefour de la croissance propre contribuera à coordonner le financement fédéral disponible pour les entreprises canadiennes de technologies propres afin de combler les lacunes actuelles en matière de financement et de soutien aux programmes auxquelles ces entreprises font face alors qu’elles commercialisent leurs produits et se développent, et d’améliorer le service aux entreprises de technologies propres à l’échelle du pays. Le programme offre une analyse fondée sur des faits et des conseils en matière de technologies propres au Canada, tout en soutenant la mise sur pied d’une politique sur les technologies propres ainsi qu’un programme de sensibilisation et de mobilisation à cet égard. Il appuie également la collecte de données et la production régulière de rapports afin d’améliorer la capacité du gouvernement du Canada à cibler ses politiques et ses programmes en matière de production et d’adoption de technologies propres. Le programme appuie le développement et la démonstration de technologies propres par l’entremise de sa supervision de Technologies du développement durable Canada (TDDC). Conformément à la responsabilité essentielle Entreprises, investissement et croissance, ce programme appuie les résultats ministériels « Le Canada est un chef de file mondial en matière de technologies propres » et « Les entreprises canadiennes sont compétitives à l’échelle mondiale et connaissent une forte croissance », et comprend le paiement de transfert suivant : le Fonds d’appui technologique au développement durable de TDDC."
"Innovation, Science and Economic Development Canada",130,BNN04,Economic Development in Northern Ontario,"The Economic Development in Northern Ontario program promotes economic development and diversification, job creation, and sustainable, self-reliant communities in Northern Ontario. This is achieved by providing transfer payments to small- and medium-sized enterprises and not-for-profit organizations, including municipalities, municipal organizations, community development organizations and research institutions, in the following priority areas: community economic development, business growth and competitiveness, and innovation. This program uses funding from the following transfer payments: Northern Ontario Development Program, Community Futures Program, and Economic Development Initiative. This program supports the departmental result “Canada has a highly skilled workforce that is equipped for jobs in an innovative and high-growth economy” under the People, Skills and Communities core responsibility and includes the following transfer payments: Northern Ontario Development Program, Community Futures Program, Economic Development Initiative, Canada 150 Community Infrastructure Program.","Le programme Développement économique du Nord de l’Ontario favorise le développement économique et la diversification ainsi que la création d’emplois, et qui encourage la présence de collectivités durables et autonomes dans le Nord de l’Ontario. Pour y parvenir, des paiements de transfert sont versés à des petites et moyennes entreprises et à des organismes sans but lucratif, y compris des municipalités, des organismes municipaux, des organismes de développement communautaire et des établissements de recherche, dans ces trois secteurs prioritaires : le développement économique communautaire, la croissance et la compétitivité des entreprises ainsi que l’innovation. Ce programme utilise des fonds provenant du transfert de paiement suivant : le Programme de développement du Nord de l’Ontario, le Programme de développement des collectivités et l’Initiative de développement économique. Ce programme vient appuyer le résultat ministériel « Le Canada possède une main-d’œuvre hautement qualifiée qui peut occuper des emplois dans une économie novatrice en forte croissance » qui s’inscrit sous la responsabilité essentielle Personnes, compétences et collectivités, et comprend les paiements de transfert suivants : le Programme de développement du Nord de l’Ontario, le Programme de développement des collectivités, l’Initiative de développement économique et le Programme d’infrastructure communautaire de Canada 150."
"Innovation, Science and Economic Development Canada",130,BNN02,Entrepreneurship Policy,"The Entrepreneurship Policy program addresses barriers and promotes the growth and competitiveness of entrepreneurs, including under-represented groups in business and entrepreneurship to build a more inclusive economy. The program provides support to Canadian entrepreneurs who would not typically be supported by traditional lending institutions, and other business support services as well as promotes co-operatives as an important business model that advances sustainable and inclusive growth. The program engages with diverse groups, including women, youth, and Indigenous People, and works to ensure that Canada’s economic development and innovation policies and programs reflect their needs. The program works to strengthen Canada’s social enterprise community, which includes federal and provincial partners, the academic community and Canadian social enterprise practitioners. This program supports the departmental result “Canada’s entrepreneurs represent all segments of Canadian society” under the People, Skills and Communities core responsibility and includes the following transfer payments: Futurpreneur, Women Entrepreneurs.","Le programme de la politique d’entrepreneuriat vise à atténuer les obstacles et cherche à promouvoir la croissance et la compétitivité des entrepreneurs, dont les groupes sous-représentés dans le monde des affaires ainsi que l’entrepreneuriat afin de bâtir une économie plus inclusive. Le programme offre du soutien aux entrepreneurs canadiens qui n’en reçoivent habituellement pas de la part des institutions de prêt traditionnelles, et d’autres services de soutien aux entreprises, et fait la promotion des coopératives en tant que modèle d’affaires important qui met de l’avant une croissance durable et inclusive. Le programme s’engage auprès de différents groupes, notamment les femmes, les jeunes et les Autochtones, afin que les programmes et politiques de développement économique et d’innovation du Canada rencontrent leurs besoins. Le programme vise à renforcer la communauté des entreprises sociales du Canada, qui comprend les partenaires des gouvernements fédéral et provinciaux, le milieu universitaire et les intervenants des entreprises sociales. Ce programme vient appuyer le résultat ministériel « Les entrepreneurs du Canada représentent toutes les sphères de la société canadienne » qui s’inscrit sous la responsabilité essentielle Personnes, compétences et collectivités, et comprend les paiements de transfert suivants : Futurpreneur, Soutien aux femmes entrepreneures."
"Innovation, Science and Economic Development Canada",130,BNN01,Talent Development,"The Talent Development Program seeks to build the knowledge and skills of Canadian youth to ensure they are equipped with the skills and tools needed to participate in an innovative economy. The Program includes complementary initiatives targeting young people, from early childhood to graduate school, to help promote youth engagement in science, technology, engineering and math (STEM) and support opportunities for coding and digital skills development. Initiatives within the Program support opportunities for recent post-secondary graduates to gain valuable work experience to fully participate in the digital economy. The initiatives in the Program also include the administration of awards to teachers, to honour and promote Canada’s most outstanding educators and share their innovative and proven teaching practices. This program supports the departmental result “Canada has a highly skilled workforce that is equipped for jobs in an innovative and high-growth economy” under the People, Skills and Communities core responsibility and includes the following transfer payments: CanCode (formerly Coding for Kids), Youth Internships, Let’s Talk Science, and Mitacs.","Le programme de développement des talents vise à favoriser l’acquisition de connaissances et de compétences chez les jeunes Canadiens afin qu’ils possèdent les compétences et les outils nécessaires pour participer à une économie novatrice. Ce programme comprend des initiatives complémentaires ciblant les jeunes, de la maternelle jusqu’aux études supérieures, afin de promouvoir leur engagement envers les sciences, la technologie, l’ingénierie et les mathématiques (STIM), et d’appuyer les possibilités de développer leurs compétences en codage et autres compétences numériques. Les initiatives de ce programme viennent appuyer les possibilités pour les récents diplômés postsecondaires d’acquérir l’expérience professionnelle pertinente pour participer pleinement à l’économie numérique. Les initiatives du programme comprennent aussi l’administration des subventions octroyées aux professeurs afin d’honorer et de mettre en valeur les membres exceptionnels du secteur de l’éducation du Canada et de diffuser leurs pratiques d’enseignement innovantes qui ont fait leurs preuves. Ce programme vient appuyer le résultat ministériel « Le Canada possède une main-d’œuvre hautement qualifiée qui peut occuper des emplois dans une économie novatrice en forte croissance » qui s’inscrit sous la responsabilité essentielle Personnes, compétences et collectivités, et comprend les paiements de transfert suivants : CodeCan (anciennement Codage pour les enfants), Stages pour les jeunes, Parlons sciences et les programmes de Mitacs."
"Innovation, Science and Economic Development Canada",130,BNO03,Innovation Superclusters Initiative,"The Innovation Superclusters Initiative program promotes the growth of Canadian innovation networks and clusters. Innovation superclusters are geographic regions that are hotbeds of innovation with strong collaborations between leading companies and academic and research institutions, which can lead to new solutions to complex problems and result in the creation of new technologies. The program supports industry-driven consortia charged with developing and executing a strategic plan to build an advantage for their cluster to reinforce Canada’s sectors of strength. The program supports technology projects by incentivizing research and development, increasing private sector and academic/public research institution collaboration, and driving commercialization of new technologies and products. The program seeks to enable the growth of innovative small firms and attached supply chain members, as well as attracting new investors and production mandates. The program contributes to the departmental results “World-leading superclusters are grown in Canada”, “Canadian businesses invest more in research and development (R&D)” and “Canada has world leading-research capacity” under the Science, Technology, Research and Commercialization core responsibility and includes the following transfer payments: Innovation Superclusters Initiative.","Le programme de l’Initiative des supergrappes d’innovation fait la promotion de la croissance des réseaux et des grappes canadiennes d’innovation. Les supergrappes d’innovation sont des régions géographiques qui sont des foyers d’innovation avec des collaborations étroites entre des entreprises de premier plan et des établissements d’enseignement et de recherche, qui pourraient déboucher sur de nouvelles solutions à des problèmes complexes et se traduire par la création de nouvelles technologies. Le programme appuie les consortiums dirigés par l’industrie dont le mandat est d’élaborer et de mettre en œuvre un plan stratégique visant à créer un avantage pour leur grappe afin de consolider les secteurs de force du Canada. Le programme appuie les projets de technologie en encourageant la collaboration entre le secteur privé et les établissements de recherche universitaires et publics, et en favorisant la commercialisation de nouvelles technologies et de nouveaux produits. Le programme vise à faciliter la croissance de petites entreprises novatrices et des chaînes d’approvisionnement qui en dépendent, tout en attirant de nouveaux investisseurs et de nouveaux mandats de production. Le programme contribue à l’atteinte des résultats ministériels « Des supergrappes de calibre mondial sont créées au Canada », « Les entreprises canadiennes investissent davantage dans la recherche et le développement » et « Le Canada possède une capacité de recherche de calibre mondial » qui s’inscrivent sous la responsabilité essentielle Sciences, technologie, recherche et commercialisation, et comprend le paiement de transfert suivant : Initiative des supergrappes d’innovation."
"Innovation, Science and Economic Development Canada",130,BNP08,"Communication Technologies, Research and Innovation","The Communication Technologies, Research and Innovation program, through the Communications Research Centre (CRC), serves as the federal centre of research excellence for advanced telecommunications, focusing on spectrum and wireless R&D. The program provides technical advice to enable evidence-based decision-making and spectrum program management for ISED. This helps position the Government to meet the evolving needs of a modern digital economy. The program enables innovation by offering opportunities for industry/academia to license its intellectual property and technologies, and by making its R&D results publically available. In addition, the program partners with industry/academia on strategic R&D collaborations to develop leading-edge technology to address global challenges facing Canada. These partnerships present opportunities to Canadian businesses and academia to engage in next-gen research which can help them, and the Canadian market, grow and be globally competitive. Under this program, the CRC acts as custodian of the Shirleys Bay Campus, which houses the research facilities of the CRC as well as other government departments. This program supports the departmental results “Canadian companies are globally competitive and achieve high growth” and “Canada is a location and destination of choice for investment, growth and tourism” under the Companies, Investment and Growth core responsibility.","Le programme de recherche et d’innovation en matière de technologies des communications, par l’entremise du Centre de recherches sur les communications (CRC), fait office de centre fédéral d’excellence en recherche pour les télécommunications évoluées, mettant l’accent sur la recherche et le développement en matière de spectre et de sans-fil. Le programme offre des conseils techniques à ISDE pour permettre la prise de décisions fondée sur des données probantes et la gestion du programme du spectre. Cela contribue à positionner le gouvernement pour qu’il réponde aux besoins changeants d’une économie numérique moderne. Le programme permet l’innovation en offrant des occasions à l’industrie et aux universités de protéger leur propriété intellectuelle et d’obtenir des licences pour leurs technologies, et en rendant ses résultats de R-D accessibles au public. De plus, le programme s’associe à l’industrie et aux universités pour certains projets de R-D stratégiques afin de mettre au point une technologie de pointe pour faire face aux grands défis auxquels est confronté le Canada. Ces partenariats offrent des occasions aux entreprises et aux universités canadiennes d’entreprendre des recherches de prochaine génération qui pourraient les aider, ainsi que le marché canadien, à croître et à être concurrentielles sur le plan mondial. Aux termes de ce programme, le CRC agit en qualité de gardien du campus de la baie Shirleys qui héberge les installations de recherche du Centre ainsi que d’autres ministères. Ce programme vient appuyer les résultats ministériels « Les entreprises canadiennes sont compétitives à l’échelle mondiale et connaissent une forte croissance » et « Le Canada est une destination de choix pour l’investissement, la croissance et le tourisme » qui s’inscrivent sous la responsabilité essentielle Entreprises, investissement et croissance."
National Research Council of Canada,228,BNQ01,Aerospace,"The Aerospace program focuses on aerospace research and technology development in the core areas of aerodynamics, flight research, gas turbines, structures and materials, and manufacturing. We conduct Research and Technology Development (R&TD) across the full spectrum of issues related to the design, manufacture, qualification, performance, use and maintenance of air vehicles. This work covers all of the major concerns in aerospace—cost, weight, safety, human factors and environmental footprint. Our five research initiatives seek to address some of the critical challenges faced by the Canadian and global aerospace sectors. We support industry with the development and delivery of demonstrated technologies into both the civilian and military markets. The Aerospace program is home to over 325 scientists, engineers and technical experts in Ontario and Quebec and includes over $500M of research infrastructure. We are divided into four laboratories, each led by a Director of Research and Development.","Le Programme aérospatial met l’accent sur la recherche aérospatiale et sur le développement technologique dans les domaines clés que sont l’aérodynamique, la recherche en vol, les turbines à gaz, les structures et les matériaux, et la fabrication. Nous menons des travaux de recherche et développement technologique (R-DT) dans tout l’éventail d’enjeux liés à la conception, à la fabrication, à la qualification, à la performance, à l’utilisation et à l’entretien d’aéronefs. Ces travaux touchent à toutes les principales préoccupations en aérospatiale — le coût, le poids, la sécurité, les facteurs humains et l’empreinte environnementale. Nos cinq initiatives de recherche visent à relever certains des grands défis auxquels sont confrontés les secteurs aérospatiaux canadiens et mondiaux. Nous soutenons l’industrie par la mise au point et le déploiement de technologies démontrées dans les marchés civils et militaires. Le Programme aérospatial compte plus de 325 scientifiques, ingénieurs et experts techniques en Ontario et au Québec, et il comprend une infrastructure de recherche évaluée à plus de 500 M$. Nous sommes séparés en quatre laboratoires, chacun dirigé par un directeur de la recherche-développement."
National Research Council of Canada,228,BNQ02,Aquatic and Crop Resource Development,"In collaboration with industry, the Aquatic and Crop Resource Development program develops improved varieties of crops and develops technologies for maximizing crop value and converting biomass to enhance the prosperity and global market share of the Canadian agriculture, bio-product, and natural health product industry sectors. This includes development and validation of value-added goods – from natural ingredients and health products through to chemicals and industrial oils and other products – for leveraging Canada’s abundance of aquatic and crop resources. Results are achieved through multi-disciplinary collaborative research and development services in addition to specialized technical services for transferring or advancing technologies into deployed solutions and improved practices for the marketplace.","En collaboration avec l’industrie, le programme Développement des cultures et des ressources aquatiques améliore des variétés de cultures et développe des technologies pour maximiser la valeur des cultures et convertir la biomasse afin d’accroître la prospérité et la part du marché mondial des secteurs industriels canadiens de l’agriculture, des produits biologiques et des produits naturels de santé. Cela englobe le développement et la validation de biens à valeur ajoutée — des ingrédients et produits pour la santé jusqu’aux produits chimiques, aux huiles industrielles et à d’autres produits — afin de tirer profit des abondantes ressources aquatiques et cultures du Canada. On obtient des résultats grâce à des services de recherche-développement collaboratifs et multidisciplinaires, en plus de services techniques spécialisés pour transférer ou faire progresser des technologies afin d’en faire des solutions déployées et des pratiques améliorées pour le marché."
National Research Council of Canada,228,BNQ03,Automotive and Surface Transportation,"The Automotive and Surface Transportation program provides technical knowledge and advances product and process technologies for producing more fuel-efficient, affordable, and environmentally-responsible ground vehicles and for delivering engineering solutions to complex technology challenges facing ground transportation industries including heavy vehicle and rail. This is important for reducing transportation infrastructure and costs and for enhancing Canada's share of ground vehicle supply chains and for enhancing the prosperity of the ground vehicle industry sector in Canada as it is faced with growing environmental concerns, competitive pressures and stringent regulations. The Canadian economy relies on advanced manufacturing sectors such as the ground vehicle industries as major economic drivers, accounting for a significant portion of manufacturing trade, and therefore must remain competitive. Results are achieved through multi-disciplinary collaborative research and development in addition to specialized technical services, such as testing, prototyping and system integration, for transferring or advancing technologies into deployed solutions and improved practices for the marketplace.","Le programme Automobile et transport de surface fournit des connaissances techniques et fait progresser des technologies visant à créer des véhicules terrestres plus écoénergétiques, abordables et respectueux de l’environnement, et à fournir des solutions techniques à des défis technologiques complexes auxquels sont confrontées les industries du transport, y compris celles des véhicules lourds et du transport ferroviaire. Cela est important pour réduire l’infrastructure et les coûts de transport, ainsi que pour accroître la part du Canada des chaînes d’approvisionnement de véhicules terrestres et pour améliorer la prospérité du secteur de l’industrie des véhicules terrestres au Canada, qui est confronté à des préoccupations environnementales croissantes, à des pressions de la concurrence et à une réglementation plus stricte. L’économie canadienne dépend de secteurs de fabrication de pointe, comme les industries des véhicules terrestres, comme moteurs économiques importants, qui constituent une partie considérable du commerce de la fabrication et, par conséquent, qui doivent rester compétitifs. On obtient des résultats grâce à des travaux de recherche-développement collaboratifs multidisciplinaires, en plus de services techniques spécialisés, comme la mise à l’essai, le prototypage et l’intégration des systèmes, pour transférer ou faire progresser des technologies afin d’en faire des solutions déployées et des pratiques améliorées pour le marché."
National Research Council of Canada,228,BNQ08,Industrial Research Assistance Program,"Industrial Research Assistance Program (IRAP) has been contributing to the creation of wealth for Canada through technological innovation. This has been accomplished by providing a wide range of technical and business advisory services, as well as funding, to innovative Canadian small and medium-sized enterprises (SMEs) to help build their innovation capacity and successfully take their ideas to market. IRAP helps SMEs identify business opportunities and understand innovation challenges, and provides linkages to the most appropriate business and Research and Development (R&D) expertise in Canada. Regarded worldwide as one of the best programs of its kind, IRAP is a cornerstone in Canada’s innovation system helping some 13,000 SME clients annually. Funding available through IRAP includes contributions to SMEs and to SME serving organizations (through regular funding and temporary funding programs), and contributions supporting employment of post-secondary graduates.","Le Programme d’aide à la recherche industrielle (PARI) contribue à la création de richesses pour le Canada par l’innovation technologique. On accomplit cela par la prestation d’un vaste éventail de services consultatifs techniques et commerciaux, ainsi que par du financement à de petites et moyennes entreprises (PME) canadiennes novatrices, afin de les aider à renforcer leurs capacités d’innovation et à réussir la mise en marché de leurs idées. Le PARI aide des PME à cerner des occasions d’affaires et à comprendre les défis liés à l’innovation, et il leur offre des contacts avec l’expertise d’affaires et de recherche-développement (R-D) la plus appropriée au Canada. Considéré à travers le monde comme un des meilleurs programmes en son genre, le PARI est une pierre angulaire du système d’innovation du Canada qui, chaque année, vient en aide à environ 13 000 PME clientes. Le financement offert dans le cadre du PARI comprend des contributions aux PME et aux organismes qui les servent (grâce à des programmes de financement réguliers et temporaires), ainsi que des contributions appuyant l’emploi de détenteurs de diplômes postsecondaires."
National Research Council of Canada,228,BNQ22,"Collaborative Science, Technology and Innovation Program","NRC’s Collaborative Science, Technology and Innovation Program integrates three components that encourage and catalyze research excellence resulting in scientific discoveries and technological breakthroughs. Collaborative R&D Initiatives are the primary vehicles for convening national teams of government, business and academic researchers to address Government priorities, tackle policy challenges and stimulate business innovation. This contribution funding enables multi-disciplinary teams to work collaboratively in a DARPA-like program model towards a focused outcome within an established timeline. These initiatives will be funded through combination of operational funding for internal NRC work and Grants and Contributions for the collaboration with others. NRC Ideation Fund uses grant or contribution funding to enable NRC researchers working individually, in small teams across NRC and with national or international researchers from other organizations to test ideas and advance technologies leading to new ideas for future large-scale collaborative R&D Initiatives. Projects under the Ideation Fund will be small scale exploratory projects in any science or engineering field that could eventually feed projects that are part of future Collaborative R&D Initiatives. Outreach Initiative grant funding will enable the NRC to increase its outreach, engagement, and support of research excellence in science, technology, engineering and mathematics fields, including diversity groups.","Le Programme de collaboration en science, en technologie et en innovation du CNRC intègre trois composantes qui stimulent l’excellence en recherche menant à des percées scientifiques et technologiques. Les initiatives de collaboration en R-D sont le moyen privilégié pour réunir des équipes nationales de chercheurs gouvernementaux, universitaires et du monde des affaires afin d’aborder les priorités gouvernementales, relever les défis liés aux politiques et stimuler l’innovation en entreprise. Ce financement sous forme de contributions permet à des équipes multidisciplinaires collaborer dans le cadre de programmes semblables à ceux de la DARPA afin d’obtenir un résultat ciblé dans un délai établi. Ces initiatives seront financées par les crédits pour les opérations internes du CNRC et par des subventions et contributions pour la collaboration avec des partenaires externes. Le Fonds d’idéation du CNRC utilise des subventions ou des contributions pour permettre aux chercheurs du CNRC travaillant individuellement, en petites équipes à l’échelle du CNRC, ou avec des partenaires nationaux ou internationaux, de mettre à l’essai des idées et de faire progresser les technologies menant à de nouvelles idées pour de futures initiatives à grande échelle de collaboration en R-D. Les projets réalisés dans le cadre du Fonds d’idéation seront des projets exploratoires de petite envergure dans le domaine des sciences ou du génie, qui pourraient plus tard inspirer des projets pour des initiatives futures de collaboration en R-D. Les subventions accordées dans le cadre de l’Initiative de rayonnement permettront au CNRC d’accroître son rayonnement et son engagement et de soutenir l’excellence en recherche dans les domaines des sciences, de la technologie, de l’ingénierie et des mathématiques, y compris auprès des groupes visés par la diversité."
National Research Council of Canada,228,BNQ04,Construction,"The Construction program provides technical knowledge and it advances product and process technologies to enhance the prosperity of the Canadian construction industry sector as it faces critical challenges in responding to expectations for better performing and more affordable buildings and infrastructure while striving to remain competitive in the global marketplace. The success of this sector is critical as a major contributor to Canada's Gross Domestic Product (GDP), employing millions of individuals, and managing assets valued in the trillions of dollars. Results are achieved through multi-disciplinary collaborative research and development and standardization services in addition to custom technical services - such as testing, product and process validation, prototyping, and system integration in field and in specialized facilities - for transferring or advancing technologies into deployed solutions and improved practices for the marketplace. This Program also includes Codes Canada (National Building Code, National Fire Code, National Plumbing Code and National Energy Code) and the Canadian Construction Material Centre.","Le programme de Construction fournit des connaissances techniques et fait progresser des technologies des produits et des processus afin de faire croître la prospérité du secteur canadien de l’industrie de la construction qui est confronté à des défis critiques alors qu’il doit répondre aux attentes d’infrastructures et d’immeubles plus performants et abordables, tout en s’efforçant de rester compétitif dans le marché mondial. La réussite de ce secteur est essentielle à titre de grand facteur du produit intérieur brut (PIB) du Canada, source d’emploi pour des millions de personnes, et gérant des actifs évalués à des trillions de dollars. On obtient des résultats grâce à des travaux de recherche-développement collaboratifs et multidisciplinaires et à des services de normalisation, en plus de services techniques personnalisés — comme la mise à l’essai, la validation de produits et de processus, le prototypage et l’intégration de systèmes sur le terrain et dans des installations spécialisées — pour transférer ou faire progresser des technologies afin d’en faire des solutions déployées et des pratiques améliorées pour le marché. Ce programme comprend aussi le Centre canadien des codes (Code national du bâtiment, Code national de prévention des incendies, Code national de la plomberie et Code national de l’énergie) et le Centre canadien de matériaux de construction."
National Research Council of Canada,228,BNQ05,"Energy, Mining and Environment","The Energy, Mining and Environment program develops and advances technologies and techniques for enhancing the innovation capacity and growth of Canada’s natural resources and utility sectors. These sectors are important contributors to Canada's Gross Domestic Product (GDP) that are challenged by volatile global markets and growing environmental pressures. To remain sustainable, industries in these sectors require technologies to reduce production costs. Results are achieved through multi-disciplinary collaborative research and development in addition to specialized advisory and technical services for transferring or advancing technologies into industrial solutions for the marketplace.","Le programme Énergie, mines et environnement développe et fait progresser des technologies et des techniques permettant d’améliorer la capacité d’innovation et la croissance des secteurs canadiens des ressources naturelles et des services publics. Ces secteurs font une contribution importante au produit intérieur brut (PIB) du Canada et ils doivent relever les défis que présentent les marchés mondiaux volatils et les pressions environnementales croissantes. Pour rester durables, les industries de ces secteurs ont besoin de technologies qui réduisent les coûts de production. On obtient des résultats grâce à des travaux de recherche et développement collaboratifs multidisciplinaires, en plus de services consultatifs et techniques spécialisés pour transférer ou faire progresser des technologies afin d’en faire des solutions industrielles déployées pour le marché."
National Research Council of Canada,228,BNQ07,Human Health Therapeutics,"The Human Health Therapeutic program (HHT) serves primarily small and medium enterprises (SMEs) through development of biotherapeutics and vaccines to address unmet needs in human health. The program’s primary mode of interaction with its clients is through collaborative research agreements for product co-development. The program also develops competencies and intellectual property for novel products and technology platforms that SMEs can later license. HHT contributes to Canadian companies by increasing their capability to innovate, shortening time to regulatory submission, increasing their ability to received new investments, and by increasing their market valuation. The program achieves these impacts by directly improving company’s resource and capabilities through the improvement of their technology capabilities, technical expertise, knowledge and information, and technology development. The HHT program helps Canadian firms to advance their biologics and vaccine pipelines, and also supports the Canadian biomanufacturing sector by promoting the development of quality biomanufacturing capabilities in Canada. Additionally the program provides solutions to un met public health needs of Canadians to combat infectious diseases through development of vaccines.","Le programme Thérapeutique en santé humaine (TSH) dessert principalement des petites et moyennes entreprises (PME) grâce au développement de produits biothérapeutiques et de vaccins afin de répondre à des besoins non satisfaits en matière de santé humaine. Le principal mode d’interaction du programme avec ses clients fait appel à des accords de recherche concertée visant le développement conjoint de produits. De plus, le programme renforce les compétences et développe des propriétés intellectuelles concernant des plateformes technologies et des produits novateurs pour lesquels les PME peuvent ultérieurement attribuer des licences d’utilisation. Le programme TSH contribue à l’essor des entreprises canadiennes en augmentant leur capacité à innover, en réduisant les délais des soumissions réglementaires, en accroissant leur capacité à recevoir de nouveaux investissements, et en rehaussant leur valeur sur le marché. Le programme réalise ces impacts en améliorant directement les ressources et les capacités des entreprises grâce à l’amélioration de leurs capacités technologiques, de leur expertise technique, de leurs connaissances et des renseignements qu’elles possèdent, et du développement technologique. Le programme TSH aide les entreprises canadiennes à faire progresser leurs projets de produits biologiques et de vaccins, et il appuie le secteur canadien de la biofabrication en faisant la promotion du développement de capacités de biofabrication de qualité au Canada. Enfin, le programme fournit des solutions à des besoins non satisfaits liés à la santé des Canadiens pour combattre des maladies infectieuses par la création de vaccins."
